ParkName,Year,Visitors
Great Smoky Mountains,2011,9008830
Zion,2011,2825505
Yellowstone,2011,3394326
Grand Canyon,2011,4298178
Rocky Mountain,2011,3176941
Acadia,2011,2374645
Grand Teton,2011,2587437
Yosemite,2011,3951393
Indiana Dunes,2011,1840513
Glacier,2011,1853564
Great Smoky Mountains,2012,9685829
Zion,2012,2973607
Yellowstone,2012,3447729
Grand Canyon,2012,4421352
Rocky Mountain,2012,3229617
Acadia,2012,2431052
Grand Teton,2012,2705256
Yosemite,2012,3853404
Indiana Dunes,2012,1889381
Glacier,2012,2162035
Great Smoky Mountains,2013,9354695
Zion,2013,2807387
Yellowstone,2013,3188030
Grand Canyon,2013,4564840
Rocky Mountain,2013,2991141
Acadia,2013,2254922
Grand Teton,2013,2688794
Yosemite,2013,3691191
Indiana Dunes,2013,1681695
Glacier,2013,2190374
Great Smoky Mountains,2014,10099276
Zion,2014,3189696
Yellowstone,2014,3513484
Grand Canyon,2014,4756771
Rocky Mountain,2014,3434751
Acadia,2014,2563129
Grand Teton,2014,2791392
Yosemite,2014,3882642
Indiana Dunes,2014,1553372
Glacier,2014,2338528
Great Smoky Mountains,2015,10712674
Zion,2015,3648846
Yellowstone,2015,4097710
Grand Canyon,2015,5520736
Rocky Mountain,2015,4155916
Acadia,2015,2811184
Grand Teton,2015,3149921
Yosemite,2015,4150217
Indiana Dunes,2015,1640195
Glacier,2015,2366056
Great Smoky Mountains,2016,11312786
Zion,2016,4295127
Yellowstone,2016,4257177
Grand Canyon,2016,5969811
Rocky Mountain,2016,4517585
Acadia,2016,3303393
Grand Teton,2016,3270076
Yosemite,2016,5028868
Indiana Dunes,2016,1698223
Glacier,2016,2946681
Great Smoky Mountains,2017,11338893
Zion,2017,4504812
Yellowstone,2017,4116524
Grand Canyon,2017,6254238
Rocky Mountain,2017,4437215
Acadia,2017,3509271
Grand Teton,2017,3317000
Yosemite,2017,4336890
Indiana Dunes,2017,2158471
Glacier,2017,3305512
Great Smoky Mountains,2018,11421200
Zion,2018,4320033
Yellowstone,2018,4115000
Grand Canyon,2018,6380495
Rocky Mountain,2018,4590493
Acadia,2018,3537575
Grand Teton,2018,3491151
Yosemite,2018,4009436
Indiana Dunes,2018,1756079
Glacier,2018,2965309
Great Smoky Mountains,2019,12547743
Zion,2019,4488268
Yellowstone,2019,4020288
Grand Canyon,2019,5974411
Rocky Mountain,2019,4670053
Acadia,2019,3437286
Grand Teton,2019,3405614
Yosemite,2019,4422861
Indiana Dunes,2019,2134285
Glacier,2019,3049839
Great Smoky Mountains,2020,12095720
Zion,2020,3591254
Yellowstone,2020,3806306
Grand Canyon,2020,2897098
Rocky Mountain,2020,3305199
Acadia,2020,2669034
Grand Teton,2020,3289638
Yosemite,2020,2268313
Indiana Dunes,2020,2293106
Glacier,2020,1698864
Great Smoky Mountains,2021,14161548
Zion,2021,5039835
Yellowstone,2021,4860242
Grand Canyon,2021,4532677
Rocky Mountain,2021,4434848
Acadia,2021,4069098
Grand Teton,2021,3885230
Yosemite,2021,3287595
Indiana Dunes,2021,3177210
Glacier,2021,3081656
